Codice,descrizione,scaffale
254001-2,chiavetta mezzaluna,A02
254031-3,chiavetta,G09
254231-5,chiavetta,G08
255058-6,rivetto,L11
256036-9,spina,P05
256047-4,spinotto x 9609HB,C05
256085-6,spinotto,V13
256101-4,perno,E05
256219-1,spinotto,Q08
256252-3,spinotto,P07
256439-7,spinotto,A06
256452-5,spinotto,R01
256459-1,spinotto,F10
256486-8,spinotto,F13
256491-5,spinotto x GA9020,F13
256510-7,spinotto x GA4530,Q15
257073-6,anello x 6012DW,B07
257116-4,anello 21,T12
257231-4,anello,T04
257336-0,anello ritegno,H04
257535-4,bronzina,V06
257671-6,boccola,V07
257913-8,rondella,G04
257932-4,rondella di fermo,H03
257960-9,anello ritegno,I07
259033-4,anello,T15
261015-4,rondella,R01
261023-5,rondella,L01
261049-7,rondella,L04
261074-8,rondella nylon x 6905B,C06
261099-2,rondella,G10
262010-7,anello,R01
262038-5,anello gomma,A02
262095-3,anello gomma,F14
262515-7,boccola,K07
263032-0,spinotto,V10
265264-5,bullone,C09
265322-7,bullone,C01
265341-3,bullone M5x75,C01
265439-6,vite,R06
265844-7,bullone,L06
266154-5,vite,O09
266163-4,bullone,F15
266322-0,vite imp.,P15
267017-8,rondella,C09
267085-1,rondella,G02
267109-3,rondella,A01
267197-0,rondella,R08
267336-2,rondella,N10
267734-0,rondella,E16
271249-1,pomolo,P02
273449-9,manopola,Q01
273472-4,manopola,Q09
284056-3,coperchio posteriore,N01
284065-2,coperchio posteriore,N15
285818-2,copri cuscinetto,I06
285819-0,ritegno,B04
285842-5,ritegno cuscinetto,R14
286220-2,tappo,M02
286234-1,tappo,N06
286246-4,cappuccio portapunte,P04
286249-8,tappo,S02
286250-3,cappuccio portapunte,Q02
286253-7,tappo,I02
286259-5,tappo x HR4500,E13
286263-4,tappo,V08
286265-0,cappuccio portapunte,V11
286269-2,cappuccio,Z04
286285-4,tappo,E15
286287-0,cappuccio,K10
286288-8,tappo,K04
3100005-5,porta lama x 4304T,Q07
310028-3,cursore,L15
310052-6,perno,U05
310108-5,chiavetta,U09
310134-4,slitta,E03
310135-2,spinotto,V15
310136-0,porta lama,V08
310161-1,ferma punte x HR4001,L13
310285-3,bussola porta lama,D06
310514-4,flangia alberino,G09
312629-3,scatola cuscinetto,F16
312951-8,piano ant.,G13
313083-4,porta lama,G12
313140-8,blocca lama,R11
314044-7,biella,F09
315095-3,oscillatore,M03
315146-2,biella,G01
315248-4,biella,G01
315782-4,sede cuscinetto,L05
316450-2,cilindro,A07
316578-6,guida di profondità,E11
316587-5,piano anteriore,I06
316598-0,protezione lama,R03
